Durchschnittlicher Jahresnettobezug nach Geschlecht (in Euro pro ArbeitnehmerIn) seit 2002 - Bezirke Wien | Average annual net remuneration by sex (in Euro per employee) since 2002 - districts of Vienna;;;;;;;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;INC_TOT_VALUE;INC_MAL_VALUE;INC_FEM_VALUE;;;;;;;;;;;;;

AT13;90000;90000;2021;20211231;24.992;27.215;22.516;;;;;;;;;;;;;
AT13;90100;90100;2021;20211231;37.250;44.343;29.954;;;;;;;;;;;;;
AT13;90200;90200;2021;20211231;24.930;26.916;22.718;;;;;;;;;;;;;
AT13;90300;90300;2021;20211231;27.450;30.396;24.373;;;;;;;;;;;;;
AT13;90400;90400;2021;20211231;29.010;33.388;24.439;;;;;;;;;;;;;
AT13;90500;90500;2021;20211231;23.096;24.695;21.315;;;;;;;;;;;;;
AT13;90600;90600;2021;20211231;26.528;29.319;23.709;;;;;;;;;;;;;
AT13;90700;90700;2021;20211231;27.866;30.956;24.825;;;;;;;;;;;;;
AT13;90800;90800;2021;20211231;28.488;31.220;25.734;;;;;;;;;;;;;
AT13;90900;90900;2021;20211231;27.518;30.514;24.612;;;;;;;;;;;;;
AT13;91000;91000;2021;20211231;21.487;22.807;19.785;;;;;;;;;;;;;
AT13;91100;91100;2021;20211231;22.629;24.537;20.386;;;;;;;;;;;;;
AT13;91200;91200;2021;20211231;22.485;23.987;20.687;;;;;;;;;;;;;
AT13;91300;91300;2021;20211231;31.719;36.737;26.662;;;;;;;;;;;;;
AT13;91400;91400;2021;20211231;26.571;29.005;23.952;;;;;;;;;;;;;
AT13;91500;91500;2021;20211231;20.866;21.729;19.804;;;;;;;;;;;;;
AT13;91600;91600;2021;20211231;22.345;23.348;21.147;;;;;;;;;;;;;
AT13;91700;91700;2021;20211231;23.891;25.633;21.949;;;;;;;;;;;;;
AT13;91800;91800;2021;20211231;28.751;32.677;25.019;;;;;;;;;;;;;
AT13;91900;91900;2021;20211231;29.903;34.540;25.235;;;;;;;;;;;;;
AT13;92000;92000;2021;20211231;21.201;22.241;19.916;;;;;;;;;;;;;
AT13;92100;92100;2021;20211231;24.381;26.587;21.926;;;;;;;;;;;;;
AT13;92200;92200;2021;20211231;26.722;29.850;23.454;;;;;;;;;;;;;
AT13;92300;92300;2021;20211231;27.268;30.581;23.748;;;;;;;;;;;;;
